u,Authors,Year,Title,Source,Volume, Issue,Abstract,DOI,Notes,Reviewer,Population,Exposure,Outcome,Meets inclusion criteria,Reasons for exclusion,Year(s) of study,Geographic location,Latitude,Longitude,Habitat description,Bird species,Size,Proportion diet,Life stage,Food measurement,Insect sampling method,Type of prey,Comparator / control group,Effect calculable?,ES_ID
1125,"Borg, Claus and Toft, Soren",2000,Importance of insect prey quality for grey partridge chicks Perdix perdix: A self-selection experiment,Journal of Applied Ecology,37,4,"1. The proportion of aphids in the cereal arthropod fauna has increased since the introduction of herbicides in the 1950s. In order to examine whether this increase has negative consequences for partridge chicks, a controlled experiment was carried out. Four groups of partridge chicks were fed different diets of fixed mixtures of grasshoppers and aphids, with aphid contents ranging from 0% to 45% wet weight. One additional group was allowed to select how much to eat of aphids and grasshoppers (self-selection). 2. Over the run of the 5-day experiment the self-selecting chicks ate 7% wet weight of aphids and showed a higher growth rate than all groups on fixed diets. 3. Increasing the proportion of aphids in the chick diet above the self-selected level had negative consequences for chick growth and flight feather development. 4. Food consumption and growth efficiency were markedly lower when chicks were fed a diet with a high proportion of aphids. 5. It is concluded that high densities of aphids cannot substitute for a diverse insect fauna as food for partridge chicks. Changes in the composition of the cereal arthropod fauna towards aphids constituting a greater proportion of available chick food may be detrimental to chick survival.",10.1046/j.1365-2664.2000.00510.x,,JME,Phasianidae,No,No,No,Captive chick experiment,,,,,,,,,,,,,,,
1126,"Mustonen, Anne-Mari (ammusto@cc.joensuu.fi) and Pyykonen, Teija and Asikainen, Juha and Hanninen, Sari and Mononen, Jaakko and Nieminen, Petteri",2005,"Circannual leptin and ghrelin levels of the blue fox (Alopex lagopus) in reference to seasonal rhythms of body mass, adiposity, and food intake",Journal of Experimental Zoology,303A,1,"The aim of the study was to investigate the circannual rhythms of leptin and ghrelin in the blue fox, a variant of the endangered arctic fox, in relation to its seasonal cycles of body mass, adiposity and food intake. The effects of long-term fasting and exogenous melatonin treatment on these weight-regulatory hormones were also investigated. The leptin concentrations of the blue fox increased during the autumnal accumulation of fat and decreased during the wintertime and vernal weight loss periods. The leptin levels peaked 2-6 weeks before the maximum values were observed for the body mass indices, voluntary food intake, and body masses. The ghrelin concentrations fluctuated widely during the autumn but decreased in the winter in association with suppression of food intake. Exogenous melatonin advanced the seasonal changes in the food intake of the blue fox but did not affect the seasonal rhythms of leptin and ghrelin concentrations. The leptin concentrations did not respond to the 3-week fasting periods in a consistent way, but the ghrelin levels increased due to food deprivation. In addition to the amount of fat in the body the leptin secretion of the blue fox may be regulated also by other factors. The blue fox may also express seasonal changes in its leptin sensitivity. Our results reinforce the hypothesis that leptin does not function as an acute indicator of body adiposity in seasonal carnivores but rather as a long-term signal of nutritional status. [copyright] 2004 Wiley-Liss, Inc.",10.1002/jez.a.125,,JRY,No,,,No,,,,,,,,,,,,,,,,
1127,"Prop, Jouke and Quinn, John L.",2003,Constrained by available raptor hosts and islands: Density-dependent reproductive success in red-breasted geese,Oikos,102,3,"In this paper we aim to explain the distribution of red-breasted geese Branta ruficollis over different nesting habitats. To be safe from land predators red-breasted goose colonies were restricted to i) islands on rivers, ii) cliffs with peregrine falcons Falco peregrinus, and iii) the close proximity of snowy owl Nyctea scandiaca and rough-legged buzzard Buteo lagopus nests. Among years nest site availability varied by flactuations in numbers of owls and buzzards in association with cycles in lemming abundance, but the total number of goose nests found in the study area did not vary. The distribution of geese, in combination with data on reproductive success, suggested a despotic mechanism: at cliffs, goose numbers were constant among years with an invariably high reproductive success, whereas large fluctuations in numbers on islands coincided with opposite trends in success. Apparently, geese nesting with owls or buzzards moved to the few islands present in the study area during years when these birds of prey were absent. Consequently, in such years the average density of geese on islands was more than twice as high as at cliff colonies (5.4 and 2.3 pairs per ha of foraging habitat, respectively). Colony size at cliffs may have been restricted by territorial behaviour of the geese, though there is evidence that, additionally, the host falcons also limited the number of nesting geese. Apparently rare in closely related species, we observed a negative density-dependent effect on reproductive success during the nest phase, and attribute this to limited food resources, reinforced by the high frequency of territorial interactions. This leads to the conclusion that, in addition to predation pressure, nesting density is an important agent in the link between lemming cycles and goose breeding success.",10.1034/j.1600-0706.2003.12244.x,,JRY,No,,,No,,,,,,,,,,,,,,,,
1128,"Klumpp, D.W. and von Westernhagen, H.",1986,Nitrogen balance in marine fish larvae: influence of developmental stage and prey density,Marine Biology (Berlin),93,2,"The utilization and fate of nitrogen in larvae of plaice (Pleuronectes platessa), blenny (Blennius pavo) and herring (Clupea harengus), from the stage of first-feeding to metamorphosis, was examined under laboratory conditions. Rates of ammonia excretion, primary amine defaecation, and growth in terms of protein-nitrogen were monitored throughout larval life. Data were used to calculate daily ration, the coefficient of nitrogen utilization (absorption efficiency), and gross and net growth efficiencies. The developmental pattern of nitrogen balance was similar for plaice and blenny larvae. These species showed increasing growth efficiency (k1: 55 of 80%) with decreasing weight-specific waste nitrogen losses with age. Absorption efficiencies were high (83 to 98%) in plaice and blenny larvae, and tended to increase with development in the former species. Ration relative to body weight decreased with growth in both species. Herring larval development, although at a slower rate than blenny and plaice, appeared normal up to 33 d, after which high mortality occurred. Absorption efficiency in this species tended to decline (83 to 43%) with age, until metabolic costs exceeded the absorbed ration and growth ceased. Artemia sp. nauplii proved a suitable food source for the rearing of plaice and blenny larvae, but this diet may have long-term toxicity or deficiency effects on herring. Availability and density of food affeced nitrogen balance in the larvae of all three species. Feeding stimulated the output of wastes in excretion and defaecation by a factor of up to ten times the 12-h non-feeding basal rates. Waste nitrogen output reached a peak some 2 to 3 h after commencement of feeding and returned slowly to the baseline in 5 to 10 h after cessation of feeding. There was an asymptotic increase in ration, ammonia output and growth of larvae as prey density increased. Ration saturation at a higher prey density (> 4 prey ml-1) than either growth or excretion rate (1 prey ml-1). Thus the efficiency with which food is absorbed and utilized for growth must eventually decline in response to high prey density. The idea that larval fish are adapted to maximize ingestion and growth rate, rather than optimize growth efficiency and thus to respond to prey occurring in either low density or in occasional patches, is supported by these results.",10.1007/BF00508256,,JRY,No,,,No,,,,,,,,,,,,,,,,
1129,"Eitniear, Jack and Becherer, Terry",2016,USING WING LENGTH TO AGE JUVENILE MONTEZUMA QUAIL,Bulletin of the Texas Ornithological Society,49,2-Jan,NA,NA,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1130,"Danko, Stefan (danko@gecom.sk) and Chavko, Jozef and Demeter, Gabriel and Mihok, Jozef and Izakovic, Jozef and Latkova, Hana and Siryova, Slavka and Noga, Michal and Nemcek, Vladimir",2011,Conservation of Eastern Imperial Eagle in the Slovak Part of the Carpathian Basin - Results of the EU LIFE-Nature Project (2003-2007),Acta Zoologica Bulgarica,NA,Suppl. 3,"Between 2003 and 2007 a LIFE-Nature project 'Conservation of Eastern Imperial Eagle Aquila heliaca SAVIGNY 1809 in the Slovak part of the Carpathian basin' was carried out. In 2004 38 nesting pairs were found, which number increased to 42 pairs in 2007. The number of successful nestlings was 26 in 2004 and 31 in 2007. There were 212 fledglings between 2004 and 2007. There were more cases of successful breeding in 2007 than in 2004, and the pairs breeding in the mountains were more successful than the lowland pairs. One hundred seventy-three nestlings were ringed during the four year period. The main prey species of the eagles were Hare (Lepus europaeus PALLAS 1778), Common Pheasant (Phasianus colchicus LINNAEUS 1758), European Hamster (Cricetus cricetus LINNAEUS 1758) and Feral Pigeon (Columba livia f domestica GMELIN 1789). The Eagles preference for the hunting areas were the following: corn stubbles (38%), colza (14%), grassland (10%), barley (10%), ploughed field (10%), wheat (3%) and other cultures (13%). Concerning the landscape structures especially the treelines and patches (81%), broadleaf forest (14%), ploughed field (4%) and grassland (1%) were preferred for roosting.",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1131,"McIntire, Sarah E. and Rabon, Jordan C. and Coates, Peter S. and Ricca, Mark A. and Johnson, Tracey N. (traceyj@uidaho.edu)",2020,Greater Sage-Grouse chick killed by Great Basin gopher snake,Western North American Naturalist,80,1,"Despite extensive range overlap between Great Basin gopher snakes (Pituophis catenifer deserticola) and Greater Sage-Grouse (Centrocercus urophasianus) within sagebrush ecosystems, there are few documented predator- prey interactions between these species. Although gopher snakes have been observed preying on nests of other prairie grouse, studies that used video-monitoring at sage-grouse nests found gopher snakes unable to consume sage-grouse eggs and reported just a single instance of a snake consuming a <1-day-old chick in a nest bowl. On the morning of 4 June 2018 at 04:55, we observed a Great Basin gopher snake killing, constricting, and attempting to consume a 19-day-old sage-grouse chick in the foothills of the Owyhee Mountains, southwestern Idaho. This observation is the first record of a gopher snake killing a sage-grouse chick during the late brood-rearing period and highlights the likelihood that large gopher snakes are a cause of chick mortality from hatch day to at least 19 days post-hatch.",10.3398/064.080.0107,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1132,NIEWOLD F J J and NIJLAND H,1987,THE OUTLOOK FOR THE WEST EUROPEAN MOORLAND AND HEATHLAND BLACKCOCK,Zeitschrift fuer Jagdwissenschaft,33,4,"The populations of the blackcock on the heathland and high moorland areas of continental Western Europe continue to decline. In the Netherlands in spring 1985, 67 grey hens were counted on 14 territories while the total population of the whole region is estimated to be 250 to 300 grey hens. In view of a number of similarities and differences from the type specimen Tetrao tetrix tetrix, this blackcock is perhaps to be considered as a nominate subspecies along with Tetrao tetrix britaponicus. The geographical range is currently limited to Scotland and the territories of some relict ppulations in England [UK], Belgium. The Netherlands and Denmark. The blackcock found in the Federal Republic has more characteristics of the nominate type. This is probably the result of a recolonisation mainly with birds from the North. With the use of radiotelemetry and faeces analysis, the interrelationship between the resources offered by the biotope, nutrition of the chicks and reproductive success in four different areas were studied. A limited availability of a suitable biotope for breeding, consisting of open, tall and varied heather, clearly restricted the reproductive results, whreeby chick mortality is presumed to be the most important factor. Considering more recent developments in the surrounding land of the remaining heathland areas which above all restrict the breeding biotopes, the future of the blackcock in the countries of continental Western Europe must be described as bleak. Apart from the continuing advances of land clearance, afforestation, drainage and peat cutting, which affect the heath itself, there should also be mentioned the negative factor that the surrounding agricultural land has become largely unsuitable for the blackcock as a result of intensive cultivation. The habitat on the heathland itself suffered the effects of recently introduced broad management measures, such as mowing and burning, which as a result of the recent introduction of sheep were often aimed at more frequent regeneration of the heather. In addition, there is the problem of the ecological development of the heathland as a result of the seed of pines and birches blowing in and the area under grass has increased greatly in recent times. As expected, the recently introduced mechanical turf removal in the Netherlands will once again reduce the area under grass to a considerable extent. Because of the crude character of these measures, to suitable biotope for blackcock breeding will come available immediately. Alongside the reduction and repression of several negative factors not directly damaging to the biotope, only conservation measures favouring small structures can result in a sufficiently large area of suitable biotope on the heathland. Turf removal on marrow strips of limited length (ca. 10 .times. 50 m) perhaps supplemented by mowing and burning of areas of the same size and combined with a well-thought-out tree felling policy promises the best chances for the blackcock as well as for other endangered game-animal species. Because of the acute isolation of possible remnant populations, recolonisation through release in the wild of birds bred in captivity is the only possibility of testing the habitat suitability of areas of land after the introduction of suitable conservation measures.",10.1007/BF02241447,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1133,"Curk, Teja (curk@izw-berlin.de) and Kulikova, Olga and Fufachev, Ivan and Wikelski, Martin and Safi, Kamran and Pokrovsky, Ivan",2022,Arctic Migratory Raptor Selects Nesting Area During the Previous Breeding Season,Frontiers in Ecology and Evolution,10,NA,"Migratory species have a limited time for habitat selection upon arrival at the breeding grounds. This is especially evident in arctic migrants, which are restricted by a narrow window of opportunity when environmental conditions are favorable for breeding. This general time constraint is amplified in rough-legged buzzards (Buteo lagopus) who, as many other arctic predators, rely on rodent (lemming) cycles during the breeding season, a 3-5 year period of waxing and waning local food abundance. It remains unclear how arctic predators, especially migrants, can find nesting areas where rodents are numerous when their selection time is so limited. We hypothesized that rough-legged buzzards select nesting areas during the previous breeding season. We tracked 43 rough-legged buzzards using GPS telemetry and assessed their movements post-breeding prospecting behavior to test our hypothesis. Here we show that rough-legged buzzards search for a nesting location during the previous breeding season in a post-breeding period. In the following year, individuals return to and attempt to breed in the area they inspected the year before. Rough-legged buzzards, regardless of breeding success, remained in the Arctic all breeding season until the end of September. Failed breeders prospected more than successful ones. At the same time, buzzards that bred in the rodent-free ecosystem prospected less and showed a high level of philopatry. Therefore, as rodent cycles have been predicted to collapse in the warming Arctic, we can expect arctic predators to change their movement patterns in the future with serious potential consequences for their conservation. We anticipate our study provides a step forward toward understanding movement and settlement decisions in animals experiencing high inter-annual environmental variation.",10.3389/fevo.2022.865482,,JRY,No,,,No,,,,,,,,,,,,,,,,
1134,"Orning, Elizabeth K. (beth.orning@gmail.com) and Young, Julie K.",2017,Coyote removal: can the short-term application of a controversial management tool improve female greater sage-grouse survival or nest success?,Wildlife Biology,NA,NA,"Greater sage-grouse Centrocercus urophasianus have declined across western North America, intensifying the need for ecological research that enhances management and conservation goals. Predator-prey interactions can have widespread ecological effects but there is a paucity of information about predator effects on sage-grouse ecology. During a two-year study from 2011-2012, we modified the existing framework designed for predator management to test the effects of coyote Canis latrans removal on female sage-grouse survival and nest success in the Bighorn Basin of Wyoming, USA, where coyotes were found to be the dominant predator. We used VHF radio-telemetry to monitor female survival and locate nests over pre-treatment and treatment breeding seasons, and for one-year post-treatment to the next breeding season. During treatment, we manipulated predator management at three sites to have targeted, non-targeted, and no coyote removal. Female survival remained constant over the nesting period when treatment was applied, and there were little differences between one-year pre-(S. = 0.64, 90% CI = 0.38, 0.90) and one-year post-treatment survival estimates ((S) over cap = 0.71, 90% CI = 0.55, 0.87) at the targeted coyote removal site. No differences were detected in the daily survival rates of nests relative to coyote removal. We conclude removing coyotes, the primary predator of nests and adult females identified within this system, did not improve female survival or nest success. However, long-term monitoring is recommended to provide a more robust understanding of this complex relationship.",10.2981/wlb.00345,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1135,"Beardsell, Andreanne (abeardsell@hotmail.com) and Gravel, Dominique and Clermont, Jeanne and Berteaux, Dominique and Gauthier, Gilles and Bety, Joel",2022,A mechanistic model of functional response provides new insights into indirect interactions among arctic tundra prey,Ecology (Washington D C),103,8,"Prey handling processes are considered a dominant mechanism leading to short-term positive indirect effects between prey that share a predator. However, a growing body of research indicates that predators are not necessarily limited by such processes in the wild. Density-dependent changes in predator foraging behavior can also generate positive indirect effects but they are rarely included as explicit functions of prey densities in functional response models. With the aim of untangling proximate mechanisms of species interactions in natural communities and improving our ability to quantify interaction strength, we extended the multi-prey version of the Holling disk equation by including density-dependent changes in predator foraging behavior. Our model, based on species traits and behavior, was inspired by the vertebrate community of the arctic tundra, where the main predator (the arctic fox) is an active forager feeding primarily on cyclic small rodent (lemming) and eggs of various tundra-nesting bird species. Short-term positive indirect effects of lemmings on birds have been documented over the circumpolar Arctic but the underlying mechanisms remain poorly understood. We used a unique data set, containing high-frequency GPS tracking, accelerometer, behavioral, and experimental data to parameterize the multi-prey model, and a 15-year time series of prey densities and bird nesting success to evaluate interaction strength between species. We found that (1) prey handling processes play a minor role in our system and (2) changes in arctic fox daily activity budget and distance traveled can partly explain the predation release on birds observed during lemming peaks. These adjustments in predator foraging behavior with respect to the main prey density thus appear as the dominant mechanism leading to positive indirect effects commonly reported among arctic tundra prey. Density-dependent changes in functional response components have been little studied in natural vertebrate communities and deserve more attention to improve our ability to quantify the strength of species interactions.",10.1002/ecy.3734,,JRY,No,,,No,,,,,,,,,,,,,,,,
1136,"Nadal, Jesus and Ponz, Carolina and Margalida, Antoni",2021,"The end of primary moult as an indicator of global warming effects in the Red-legged Partridge <i>Alectoris rufa</i> , a medium sized, sedentary species",Ecological Indicators,122,NA,"Global warming affects ecosystem services, communities and populations, influencing the physiology, behaviour or environment of living beings, and hence impacts its survival or breeding. Identifying species susceptibility to warming is relevant in assessing risks to animal populations and ecological processes. The progressive increase in ambient temperature as a result of global warming might have an effect on the timing of primary moult. This could affect a bird's annual cycle, influencing reproductive success and population dynamics. We describe a method to examine the potential effects of global warming on the primary moult process in a sedentary population of Red-legged Partridges (Alectoris rufa). We organised the factors that might influence the timing of moult end into a network and distinguished between environmental and intrinsic factors. We sorted the factors according to their contribution to quantitative moult models and constructed a diagrammatic scheme showing their interactions and effect on the end of primary moult over the annual cycle. In Red-legged Partridges, the timing of the end of moult varies according to age-sex class. We found no timing differences by age, but found significant timing differences by adult sex. More females overlap their moult with juveniles than males because female parental effort is higher, more females incubate and brood chicks. The timing of the end of moult varies by year due to conspecific interactions that change according to influences of the weather, habitat, and social and flock conditions. Parent birds synchronize their primary moult with the chick's growth, degree of cover and food resources. From the time of hatching to the following year, the date (day-length), social factors (conspecific interactions), and weather (resources) affect the timing of moult and the birds' annual cycle. Global warming affects the timing of the end of moult and that of the annual cycle. If the extent of the breeding period is shortened, there could be a negative effect on population outcomes. Middle size prey species are key in trophic chains. Our results suggest that the timing of the end of moult could be used as a proxy measure of warming impacts on wildlife and ecosystems and also as a tool for the management of game birds.",10.1016/j.ecolind.2020.107287,,JME,Phasianidae,No,,No,climate change; moult study ,,,,,,,,,,,,,,,
1137,"Hales, Andrea L. and Belant, Jerrold L. and Bird, Jacqueline",2008,Effects of Sex and Age on Winter Diet of American Martens in Michigan,Ohio Journal of Science,108,4,"We investigated whether sex or age influenced winter diet in American martens (Martes americana) from the Upper Peninsula of Michigan by analyzing gut content of 151 individuals trapped during 2000-2004. We identified 433 occurrences of 10 prey species and classified them into six groups based on body size. Overall, marten diets were similar to those reported previously. Proportion of prey groups and kilocalories consumed were generally similar between male and female marten diets, as well as between juveniles and adults. Average dietary breadth (0.46) was comparatively high but within the range reported for other North American studies. Dietary overlap (0.99) was high between males and females and between juveniles and adults. Comparable diets between sexes suggest that size sexual dimorphism was unrelated to prey species consumed. Similarly, diets of juveniles and adults were comparable. Mice and voles occurred most frequently in marten diets; however, squirrels represented the greatest proportion of kilocalories consumed. Future studies of marten diet should emphasize prey abundance. OHIO J. SCI. 108 (4): 60-64, 2008",NA,,JRY,No,,,No,,,,,,,,,,,,,,,,
1138,"McHugh, Niamh M. and Bown, Belinda L. and Clark, Jasmine E.",2018,Use of field margins managed under an agri-environment scheme by foraging Barn Swallows <i>Hirundo rustica</i>,Bird Study,65,3,"Capsule: Barn Swallows Hirundo rustica were more likely to forage along arable field margins that were enhanced with wildflowers or legumes than control grass margins.Aims: To determine if foraging Barn Swallows displayed preferences for specific arable field boundary habitats (grass margins versus floristically enhanced margins) that were managed as part of an agri-environment scheme. We also aim to determine how Barn Swallow food abundance related to these habitats.Methods: Two foraging activity surveys took place on all grass and floristically enhanced margins (n=56) present within the 600 m foraging range of seven Barn Swallow colonies during June and July 2016. Margin habitat use was measured by recording the presence/absence of foraging individuals during surveys, the total number of individuals and by calculating an index of foraging activity. Habitat information relating to adjacent boundary type, transect crop type and neighbouring crop type were also recorded.Results: Foraging Barn Swallows were significantly more likely to be recorded when survey transects included a floristically enhanced margin, but there was no significant impact of floristically enhanced margins on the total number of individuals recorded or on the index of foraging activity. Foraging activity was higher along grass verges and hedgerows when compared to treelines and was positively related to length weighted Diptera abundance (a measure of food biomass).Conclusion: Our results suggest that there may be a role for floristically enhanced margins in the conservation of Barn Swallows on arable farmland. More research, however, is needed to determine whether invertebrate-rich agri-environment scheme habitats can influence colony size or improve the breeding success of this species.",10.1080/00063657.2018.1506736,,JRY,No,,,No,,,,,,,,,,,,,,,,
1139,"Tillmann, Joerg E. and Ronnenberg, Katrin",2015,Assessment of habitat-specific food availability using human imprinted Grey Partridge (<i>Perdix perdix</i>) chicks,Ornis Fennica,92,2,"There is an increasing awareness of the need to evaluate agricultural practices and the effectiveness of environmental conservation measures in order to halt the overall decline in farmland birds. One major reason for Grey Partridge population collapse in Europe is the decreased chick survival rate which directly reflects the abundance and biomass of invertebrates as essential chick food. We evaluated a new methodological design using human-imprinted Grey Partridge chicks as a biological assay to compare relative food availability (g / chick / 30 min) in five different habitat types in an arable landscape. On average, partridge chicks slightly lost weight during the trials in all considered arable habitat types, indicating a low invertebrate biomass but also indicating methodological limitations of our approach. The greatest weight loss was found in the conventional crops maize and wheat and on eutrophic grass tracks; the lowest in segetal vegetation patches within wheat fields and in wildflower crop cultivated as ecologically sound cosubstrate for biogas production. An increased defaecation rate due to the handling procedure is suggested to account for the weight loss so that invertebrate availability is discussed comparing the extent to which chicks could compensate this weight loss through food intake. Considering the discussed methodological restrictions in future studies, weight changes in human-imprinted Grey Partridge chicks provide a biologically relevant index of food availability and foraging value of farmland habitats and crops. Thus, these are suitable for evaluating and monitoring the quality of farmland habitats for the Grey Partridge.",NA,,JME,Phasianidae,Insect availability,No,No,Captive chick experiment,,,,,,,,,,,,,,,
1140,"Svobodova, Jana (svobodovajana@fle.czu.cz) and Salek, Miroslav and Albrecht, Tomas",2007,Roads do not increase predation on experimental nests in a highly fragmented forest landscape,Folia Zoologica,56,1,"Modem forestry may alter avian reproductive success indirectly through affecting predator-prey interactions. Here we evaluate the influence of road types on nest predation of ground-nesting birds in a highly fragmented forest area interspersed by a dense network of roads and forest paths, with one third of the area covered by a red-deer enclosure. Experimental nests (n = 276) resembling black grouse (Tetrao tetrix) nests were proportionally installed along three types of roads discriminated by utility (road type, from frequently used to unused: tarred roads, gravel roads and forest paths) and inside/outside the red-deer enclosure. The nests were placed in couples, with one nest placed close to the road edge and the second placed inside the surrounding forest habitat to assess the ""travel line"" hypothesis. The ""travel line"" hypothesis was not supported because there was a similar predation rate among edge and interior nests. Even if predators can be discouraged along busy roads, type of road also did not affect nest predation. Nevertheless, nest predation inside the enclosure was significantly lower than in the surrounding, suggesting that frequent human disturbances in these habitats may have a repellent effect on predators of ground nests.",NA,,JME,Phasianidae,No,,No,predation,,,,,,,,,,,,,,,
1141,"Rantanen, Elina M. and Buner, Francis and Riordan, Philip and Sotherton, Nick and Macdonald, David W.",2010,"Vigilance, time budgets and predation risk in reintroduced captive-bred grey partridges <i>Perdix perdix</i>",Applied Animal Behaviour Science,127,2-Jan,"Anti-predator behaviour has direct fitness consequences for prey species and thereby affects their reintroduction success, which has generally been poor. Development of anti-predator behaviour may be impaired in captive conditions which favour low emotional reactivity, resulting in poor perception of danger. Therefore, the newly reintroduced, naive animals may not behave adaptively in terms of anti-predator vigilance, resulting in increased vulnerability to predators. Such behavioural deficiencies may have contributed to the low success rates of reintroductions, but few studies have measured post-release vigilance in captive-bred animals, and none has been published on reintroduced grey partridges. Therefore, in this study we investigated post-release vigilance behaviour and time budgets in coveys of captive-bred grey partridges (Perdix perdix: N = 26) released in autumn over two years. We observed the captive-bred grey partridge coveys in the field, and recorded their group vigilance rates as well as time budgets of individual behaviour, including vigilance and feeding. Released grey partridges had low group vigilance rates and showed poor individual vigilance (4-5% of time spent vigilant) compared to their wild counterparts (43% of time spent vigilant; Watson et al., 2007). Moreover, released individuals spent 30-48% of their time feeding, and fed at this rate throughout the day, instead of concentrating their feeding around dawn and dusk like wild grey partridges do. The revealed vigilance and feeding behaviour in released grey partridges are likely to increase vulnerability to predators, and therefore offer plausible explanations for the high predation rates of released grey partridges observed with these and previous releases. Rearing methods should be developed to encourage wariness in the captive animals. In addition, the adaptive bimodal feeding routine of wild grey partridges should be encouraged in the captive-bred birds, for example by feeding them only at dawn and dusk. (C) 2010 Elsevier B.V. All rights reserved.",10.1016/j.applanim.2010.08.002,,JME,Phasianidae,No,,No,predation; captive study,,,,,,,,,,,,,,,
1142,"Swan, George J. F. and Bearhop, Stuart and Redpath, Stephen M. and Silk, Matthew J. and Padfield, Daniel and Goodwin, Cecily E. D. and McDonald, Robbie A.",2022,Associations between abundances of free-roaming gamebirds and common buzzards <i>Buteo buteo</i> are not driven by consumption of gamebirds in the buzzard breeding season,Ecology and Evolution,12,5,"Releasing gamebirds in large numbers for sport shooting may directly or indirectly influence the abundance, distribution and population dynamics of native wildlife. The abundances of generalist predators have been positively associated with the abundance of gamebirds. These relationships have implications for prey populations, with the potential for indirect impacts of gamebird releases on wider biodiversity. To understand the basis of these associations, we investigated variation in territory size, prey provisioning to chicks, and breeding success of common buzzards Buteo buteo, and associations with variation in the abundances of free-roaming gamebirds, primarily pheasants Phasianus colchicus, and of rabbits Oryctolagus cuniculus and field voles Microtus agrestis, as important prey for buzzards. The relative abundance of gamebirds, but not those of rabbits or voles, was weakly but positively correlated with our index of buzzard territory size. Gamebirds were rarely brought to the nest. Rabbits and voles, and not gamebirds, were provisioned to chicks in proportion to their relative abundance. The number of buzzard chicks increased with provisioning rates of rabbits, in terms of both provisioning frequency and biomass, but not with provisioning rates for gamebirds or voles. Associations between the abundances of buzzards and gamebirds may not be a consequence of the greater availability of gamebirds as prey during the buzzard breeding season. Instead, the association may arise either from habitat or predator management leading to higher densities of alternative prey (in this instance, rabbits), or from greater availability of gamebirds as prey or carrion during the autumn and winter shooting season. The interactions between gamebird releases and associated practices of predator control and shooting itself require better understanding to more effectively intervene in any one aspect of this complex social-ecological system.",10.1002/ece3.8877,,JRY,No,,,No,,,,,,,,,,,,,,,,
1143,"Coup, R. N. and Pekins, P. J.",1999,Field metabolic rate of wild turkeys in winter,Canadian Journal of Zoology,77,7,"We investigated the winter bioenergetics of eastern wild turkeys (Meleagris gallopavo sylvestris) by measuring standard metabolic rate (SMR) and existence metabolism (EM) of captive turkeys and field metabolic rate (FMR) of free-ranging turkeys. Mean SMR and EM were 0.511 +- 0.040 mL O2cntdotg-1cntdoth-1 and 499.7 +- 17.7 kJcntdotkg body mass-0.734cntdotd-1 (mean +- SE) as measured by indirect respirometry and food consumption, respectively. FMR was measured with doubly labeled water and was 10.5% higher in juvenile (0.976 +- 0.039 L CO2cntdotkg-0.734cntdoth-1) than adult turkeys (0.883 +- 0.034 L CO2cntdotkg-0.734cntdoth-1); their FMR:SMR ratios were 1.74 and 1.58, respectively. Juvenile turkeys weighed less and had less body fat (13.5%) than adults (18.9%). Mean FMR was lowest in 1996, when ground forage was unavailable and weather was more windy and cold than in 1995, when ground forage was available and the turkeys' activity and range were greater. Turkeys reduced FMR in 1996 by restricting movement and range, and using proximate shelter and supplemental food. We predict that juvenile turkeys are at an energetic disadvantage when food availability is restricted because of their higher FMR, lower body and fat masses, and higher activity costs than adults.",10.1139/cjz-77-7-1075,,JRY,Phasianidae,No,,No,,,,,,,,,,,,,,,,
1144,"Seitz, Linda C. and Zegers, David A.",1993,"An experimental study of nest predation in adjacent deciduous, coniferous and successional habitats",Condor,95,2,"Predation of quail eggs in artificial nests was measured to assess potential nesting success of songbirds in adjacent deciduous, coniferous, and successional habitats at three locations in York County, Pennsylvana(USA). During the simulated 12-day incubation period, survivorship of nests in the successional habitats was greater than nest survivorship in the coniferous and deciduous habitats. Overall, survivorship of ground nests was greater than that of above ground nests. The Conewago location had lower predation than both Kain and Pinchot. This difference was primarily due to the low above ground nests predation in the deciduous and coniferous habitats at Conewago compared to that at both Kain and Pinchot. At all locations predations of ground nests in successional habitats was less than that of above ground nests. Level of predation did not correlate significantly with any of eight measures of habitat structure. Differences in predation among the three locations may be due to anthropogenic factors as well as other characteristics of the surrounding landscape.",10.2307/1369352,,JME,Phasianidae,No,,No,predation,,,,,,,,,,,,,,,
